academy award,x,x,x,x
access card,0,0,1,1
accounting book,0,0,0,0
acting course,0,0,0,0
action figure,x,x,x,x
action film,1,0,1,0
action movie,1,0,1,1
adjustment process,0,0,0,0
advertising contract,0,0,0,0
advertising designer,0,0,0,0
advertising purpose,0,0,0,0
age limit,0,0,1,1
air bag,1,1,1,1
air force,1,x,x,1
air mail,1,0,1,1
alcohol bottle,0,0,0,0
animal anatomy,0,0,0,0
animal bones,0,0,0,0
animal brain,0,0,0,0
animal life,0,0,0,0
animal matter,0,0,0,0
ankle injury,0,0,0,0
approval rating,0,1,0,0
approval requirements,0,0,0,0
arcade game,x,1,1,x
area director,0,1,0,0
arm wrestling,0,1,1,1
army camp,0,1,1,0
army officer,0,1,0,0
art collection,0,0,0,0
art form,0,0,1,0
art school,0,0,0,0
art group,0,0,0,0
assembly line,1,1,1,1
attack damage,0,1,0,0
automobile accident,0,0,0,0
back door,0,1,1,1
back pain,0,0,1,0
back pocket,0,0,0,0
background check,1,1,1,1
background color,0,0,0,0
background target,0,0,0,0
backup anchor,0,0,0,0
backup file,0,0,0,0
backup operation,0,1,0,0
backup repository,0,1,0,0
band aid,x,x,x,x
band member,0,1,0,0
bank account,0,1,1,1
bank building,0,0,0,0
bass player,0,0,0,0
bastard son,0,0,0,0
battle cry,x,x,x,x
bead maker,0,0,0,0
belief system,1,1,1,1
bird species,0,0,0,0
birth certificate,1,1,1,1
birth control,1,1,1,1
birth defect,0,0,0,0
birth name,0,0,1,1
birth place,0,1,1,1
blank shells,x,x,x,x
blood bath,x,x,x,x
blood cell,0,1,1,0
blood pressure,0,1,1,1
blood sugar,0,1,1,1
blood test,0,1,0,1
board game,1,x,1,1
boat house,1,1,1,1
body fat,0,1,0,1
body language,0,1,1,1
body mass,0,1,0,1
body parts,0,0,0,0
body structure,0,1,0,0
body symmetry,0,0,0,0
body wall,0,x,1,1
body whorl,x,x,x,x
boiling process,0,0,0,0
bomb burst,0,0,0,0
bone marrow,x,1,1,x
bone problem,0,0,0,0
bony fish,0,0,0,0
book character,0,0,0,0
book review,0,0,0,0
border guards,0,0,0,0
bounty hunter,x,1,1,x
bow saw,1,x,1,1
bowl shape,0,0,0,0
box office,x,x,x,x
brain death,0,0,1,1
brain drain,x,x,x,x
brain volume,0,0,0,0
brand awareness,0,0,1,1
brand image,x,0,1,x
brand name,x,0,1,x
brass knuckles,x,x,x,x
break point,x,x,1,x
breast cancer,0,0,0,0
bridge structure,0,0,0,0
brightness scale,0,0,0,0
